"","SAMPLE_ID","CLAY","SILT","SAND","SOC","CaCO3","N","P","K","CEC","GPS_PROJ","GPS_LAT","GPS_LONG","LC1","LC2","LU1","LU2","MINERAL","COUNTRY"
"655","1832",25,40,35,21,2,2.3,38.6,213.6,17.4,"WGS84",51.751,8.10444,"B11","8","U111","8","mineral","GERMANY"
"656","1833",28,42,30,20.1,95,2.1,71,358.7,19.4,"WGS84",51.78669,8.10138,"B16","8","U111","8","mineral","GERMANY"
"657","1836",3,7,89,20.7,0,1.5,160.2,52.7,5.3,"WGS84",51.91511,8.24165,"B16","8","U111","8","mineral","GERMANY"
"658","1837",14,74,13,12.4,1,1.4,96.3,317.4,12.3,"WGS84",51.64408,8.16785,"B11","8","U111","8","mineral","GERMANY"
"659","1841",22,59,19,20.7,0,1.1,0,55.3,7.1,"WGS84",51.34124,7.37325,"C10","8","U120","8","mineral","GERMANY"
"660","1842",17,67,15,41.9,0,3.6,37.8,136.3,5.8,"WGS84",51.14557,7.47008,"E20","8","U111","8","mineral","GERMANY"
"661","1843",4,20,76,23.3,1,1.1,13.6,21.7,5.3,"WGS84",51.67991,7.23777,"C20","8","U120","U361","mineral","GERMANY"
"662","1844",32,24,44,19.4,6,2.1,26.6,155.4,26.8,"WGS84",51.86348,7.40093,"E20","8","U111","8","mineral","GERMANY"
"663","1845",19,29,52,11.2,0,1.5,70.6,122.4,12.6,"WGS84",51.89745,7.31171,"B11","8","U111","8","mineral","GERMANY"
"664","1846",32,35,33,33.6,1,3,162.7,231.2,21.9,"WGS84",51.93205,7.25145,"E20","8","U111","8","mineral","GERMANY"
"665","1847",5,13,82,15,1,1.4,63.2,33.1,6,"WGS84",51.98455,7.18994,"E20","8","U370","8","mineral","GERMANY"
"666","1850",21,46,33,13.1,0,0.8,0,86.5,11.6,"WGS84",52.00319,7.21788,"C10","8","U120","U361","mineral","GERMANY"
"667","1851",16,21,63,19,0,1.8,29.2,140.7,11.1,"WGS84",52.05908,7.30202,"B16","8","U111","8","mineral","GERMANY"
"668","1852",6,14,81,13.4,0,1.3,62.4,74.3,5.7,"WGS84",51.70051,7.35233,"B14","8","U111","8","mineral","GERMANY"
"669","1853",3,9,88,12.4,1,1,60.2,43.2,2.5,"WGS84",51.69069,6.94764,"E20","8","U111","8","mineral","GERMANY"
